pollutant,outcome,year,lag,week_index,year_week,exposed,inc_lag,baseline_inc,delta_inc,baseline_window,n_neighbors
PM2.5,ILI,2023,1,20,2023-W37,0,0.0004697791966704666,0.00045201145095675755,1.7767745713709066e-05,3,3
PM2.5,ILI,2023,1,21,2023-W38,0,0.00048115055392724035,0.0004697791966704666,1.1371357256773735e-05,3,3
PM2.5,ILI,2023,1,22,2023-W39,1,0.000513843206040465,0.00047972913427014364,3.411407177032137e-05,3,4
PM2.5,ILI,2023,1,23,2023-W40,1,0.0004967861701553043,0.00048115055392724035,1.563561622806392e-05,3,5
PM2.5,ILI,2023,1,24,2023-W41,0,0.00047830771461304693,0.0005131324962119166,-3.4824781598869696e-05,3,4
PM2.5,ILI,2023,1,25,2023-W42,0,0.0005124217863833682,0.000513843206040465,-1.4214196570967643e-06,3,3
PM2.5,ILI,2023,1,26,2023-W43,0,0.000513843206040465,0.0005124217863833682,1.4214196570967643e-06,3,3
PM2.5,ILI,2023,1,27,2023-W44,0,0.0005280574026114322,0.0005131324962119166,1.4924906399515592e-05,3,4
PM2.5,ILI,2023,1,28,2023-W45,1,0.0006652243995212659,0.0005280574026114322,0.00013716699690983364,3,5
PM2.5,ILI,2023,1,29,2023-W46,1,0.0007227918956336831,0.0007089330539769901,1.3858841656692964e-05,3,4
PM2.5,ILI,2023,1,30,2023-W47,0,0.0008898087053425479,0.000929253100826982,-3.944439548443407e-05,3,2
PM2.5,ILI,2023,1,31,2023-W48,0,0.0013304487990425317,0.0007089330539769901,0.0006215157450655416,4,2
PM2.5,ILI,2023,1,32,2023-W49,1,0.0012586671063591472,0.0011101287521925397,0.00014853835416660742,3,2
PM2.5,ILI,2023,1,33,2023-W50,1,0.001508126256179622,0.0008898087053425479,0.0006183175508370742,3,3
PM2.5,ILI,2023,1,34,2023-W51,1,0.001254402847387857,0.0009857545321965767,0.00026864831519128043,3,2
PM2.5,ILI,2023,1,35,2023-W52,1,0.0007192383464909413,0.0009857545321965767,-0.0002665161857056354,4,2
PM2.5,ILI,2024,1,38,2024-W03,1,0.0006325317474080413,0.0006414156202648958,-8.883872856854506e-06,5,2
PM2.5,ILI,2024,1,39,2024-W04,1,0.0006467459439790085,0.0006414156202648958,5.3303237141127035e-06,4,2
PM2.5,ILI,2024,1,40,2024-W05,1,0.0006488780734646536,0.0006417709751791699,7.107098285483713e-06,4,3
PM2.5,ILI,2024,1,41,2024-W06,1,0.0006837028550635232,0.0006723314978067495,1.137135725677379e-05,3,2
PM2.5,ILI,2024,1,42,2024-W07,1,0.0006979170516344905,0.000702892020434329,-4.974968799838567e-06,3,3
PM2.5,ILI,2024,1,43,2024-W08,0,0.0006417709751791699,0.0007512202887756175,-0.0001094493135964476,3,3
PM2.5,ILI,2024,1,44,2024-W09,0,0.000702892020434329,0.0007380721569474728,-3.518013651314378e-05,3,4
PM2.5,ILI,2024,1,45,2024-W10,0,0.0007512202887756175,0.0007249240251193282,2.6296263656289272e-05,3,5
PM2.5,ILI,2024,1,46,2024-W11,0,0.0007803593917461003,0.0007203044112337638,6.00549805123365e-05,3,6
PM2.5,ILI,2024,1,47,2024-W12,0,0.0007249240251193282,0.0007277668644335216,-2.84283931419342e-06,3,6
PM2.5,ILI,2024,1,48,2024-W13,0,0.0007398489315188438,0.0007203044112337638,1.954452028508002e-05,3,6
PM2.5,ILI,2024,1,49,2024-W14,0,0.0007156847973481995,0.0007309650586619892,-1.528026131378973e-05,3,6
PM2.5,ILI,2024,1,50,2024-W15,0,0.0006943635024917487,0.0007203044112337638,-2.5940908742015135e-05,3,6
PM2.5,ILI,2024,1,51,2024-W16,0,0.0006915206631775552,0.0007050241499199741,-1.3503486742418827e-05,3,6
PM2.5,ILI,2024,1,52,2024-W17,0,0.0007370060922046503,0.0006858349845491683,5.1171107655482e-05,3,6
PM2.5,ILI,2024,1,53,2024-W18,0,0.0006801493059207814,0.0006808600157493298,-7.107098285483822e-07,3,6
PM2.5,ILI,2024,1,54,2024-W19,0,0.0006282674884367511,0.0006751743371209429,-4.690684868419181e-05,3,6
PM2.5,ILI,2024,1,55,2024-W20,0,0.0006701993683211044,0.0006570512364929596,1.3148131828144799e-05,3,6
PM2.5,ILI,2024,1,56,2024-W21,0,0.0006481673636361052,0.0006670011740926368,-1.883381045653153e-05,3,6
PM2.5,ILI,2024,1,57,2024-W22,0,0.0006502994931217503,0.0006670011740926368,-1.6701680970886493e-05,3,6
PM2.5,ILI,2024,1,58,2024-W23,0,0.0006638029798641691,0.0006602494307214274,3.553549142741694e-06,3,6
PM2.5,ILI,2024,1,59,2024-W24,0,0.0006801493059207814,0.0006570512364929596,2.3098069427821824e-05,3,6
PM2.5,ILI,2024,1,60,2024-W25,0,0.0007021813106057806,0.0006701993683211043,3.198194228467633e-05,3,6
PM2.5,ILI,2024,1,61,2024-W26,0,0.0006417709751791699,0.0006783725313494105,-3.660155617024065e-05,3,6
PM2.5,ILI,2024,1,62,2024-W27,0,0.0006929420828346519,0.0006709100781496528,2.2032004684999088e-05,3,6
PM2.5,ILI,2024,1,63,2024-W28,0,0.0006765957567780396,0.0006534976873502178,2.3098069427821824e-05,3,6
PM2.5,ILI,2024,1,64,2024-W29,0,0.0006652243995212659,0.0006353745867222347,2.9849812799031183e-05,3,6
PM2.5,ILI,2024,1,65,2024-W30,0,0.0006289781982652994,0.000616185421351429,1.2792776913870445e-05,3,6
PM2.5,ILI,2024,1,66,2024-W31,0,0.000521661014154497,0.000604458709180381,-8.279769502588397e-05,3,6
PM2.5,ILI,2024,1,67,2024-W32,0,0.0005429823090109478,0.0005735428316385273,-3.056052262757946e-05,3,6
PM2.5,ILI,2024,1,68,2024-W33,0,0.000567146443181592,0.0005323216615827224,3.482478159886964e-05,3,6
PM2.5,ILI,2024,1,69,2024-W34,0,0.0005799392200954625,0.0005269913378686097,5.294788222685279e-05,3,6
PM2.5,ILI,2024,1,70,2024-W35,0,0.000506025397926433,0.0005550643760962699,-4.903897816983685e-05,3,6
PM2.5,ILI,2024,1,71,2024-W36,0,0.00046338280821353134,0.0005735428316385273,-0.00011016002342499593,3,6
PM2.5,ILI,2024,1,72,2024-W37,0,0.0005323216615827224,0.0005952194814092522,-6.289781982652981e-05,3,6
PM2.5,ILI,2024,1,73,2024-W38,0,0.0006289781982652994,0.0005703446374100597,5.863356085523974e-05,3,6
PM2.5,ILI,2024,1,74,2024-W39,0,0.0006104997427230421,0.0006186729057513483,-8.173163028306232e-06,3,6
PM2.5,ILI,2024,1,75,2024-W40,0,0.0006574065914072339,0.0006197389704941708,3.766762091306306e-05,3,6
PM2.5,ILI,2024,1,76,2024-W41,0,0.000608367613237397,0.0006318210375794929,-2.3453424342095852e-05,3,5
PM2.5,ILI,2024,1,77,2024-W42,0,0.0006318210375794929,0.000633953167065138,-2.1321294856451465e-06,3,4
PM2.5,ILI,2024,1,78,2024-W43,0,0.0006900992435204585,0.0006318210375794929,5.82782059409656e-05,3,3
PM2.5,ILI,2024,1,79,2024-W44,1,0.0006104997427230421,0.0006609601405499757,-5.0460397826933615e-05,3,4
PM2.5,ILI,2024,1,80,2024-W45,1,0.0006858349845491683,0.0006900992435204585,-4.2642589712901845e-06,3,3
PM2.5,ILI,2024,1,81,2024-W46,1,0.0006822814354064265,0.0006961402770631196,-1.3858841656693073e-05,3,2
PM2.5,ILI,2024,1,82,2024-W47,0,0.0007021813106057806,0.0010106293761957693,-0.00030844806558998864,4,2
PM2.5,ILI,2024,1,83,2024-W48,1,0.0007476667396328757,0.0010166704097384304,-0.0002690036701055547,3,2
PM2.5,ILI,2024,1,84,2024-W49,1,0.0008386375976870659,0.0010166704097384304,-0.00017803281205136447,3,2
PM2.5,ILI,2024,1,85,2024-W50,1,0.0008748837989430323,0.0010166704097384304,-0.00014178661079539807,3,2
PM2.5,ILI,2024,1,86,2024-W51,0,0.00133115950887108,0.0009814902732252866,0.0003496692356457934,4,2
PM2.5,ILI,2024,1,87,2024-W52,1,0.0011840425743615693,0.0012959793723579362,-0.00011193679799636688,3,2
PM2.5,ILI,2025,1,88,2025-W01,1,0.0010774361000793153,0.0012607992358447924,-0.00018336313576547717,3,3
PM2.5,ILI,2025,1,89,2025-W02,1,0.001293491887958017,0.0012607992358447924,3.2692652113224495e-05,3,3
PM2.5,ILI,2025,1,90,2025-W03,0,0.0012607992358447924,0.0012178012912176166,4.2997944627175873e-05,4,2
PM2.5,ILI,2025,1,91,2025-W04,0,0.001104443073564153,0.0012959793723579362,-0.0001915362987937833,5,2
PM2.5,ILI,2025,1,92,2025-W05,1,0.0010340828005378651,0.0011826211547044728,-0.00014853835416660764,3,2
PM2.5,ILI,2025,1,93,2025-W06,1,0.0008962050937994832,0.0011826211547044728,-0.00028641606090498955,3,2
PM2.5,ILI,2025,1,94,2025-W07,1,0.0008827016070570643,0.0008844783816284352,-1.7767745713709012e-06,3,2
PM2.5,ILI,2025,1,96,2025-W09,1,0.0007647237755180364,0.0006588280110643306,0.0001058957644537058,3,3
PM2.5,ILI,2025,1,97,2025-W10,0,0.0006645136896927175,0.0006446138144933634,1.989987519935405e-05,3,3
PM2.5,ILI,2025,1,98,2025-W11,0,0.0006211603901512675,0.000651720912778847,-3.0560522627579565e-05,3,4
PM2.5,ILI,2025,1,99,2025-W12,0,0.0006588280110643306,0.0006268460687796544,3.198194228467622e-05,3,5
PM2.5,ILI,2025,1,100,2025-W13,0,0.0006446138144933634,0.0006428370399219925,1.7767745713709012e-06,3,6
PM2.5,ILI,2025,1,101,2025-W14,0,0.0006268460687796544,0.0006335978121508638,-6.751743371209359e-06,3,6
PM2.5,ILI,2025,1,102,2025-W15,0,0.0005962855461520748,0.0006357299416365089,-3.944439548443407e-05,3,6
PM2.5,ILI,2025,1,103,2025-W16,0,0.0007149740875196511,0.0006094336779802195,0.00010554040953943155,3,6
PM2.5,ILI,2025,1,104,2025-W17,0,0.0006225818098083642,0.0005667910882673178,5.579072154104643e-05,3,6
PM2.5,ILI,2025,1,105,2025-W18,0,0.0004889683620412724,0.0006094336779802195,-0.00012046531593894714,3,6
PM2.5,ILI,2025,1,106,2025-W19,0,0.0005102896568977232,0.00059841767563772,-8.812801873999679e-05,3,6
PM2.5,ILI,2025,1,107,2025-W20,0,0.0005372966303825609,0.0005817159946668335,-4.441936428427264e-05,3,6
PM2.5,ILI,2025,1,108,2025-W21,0,0.0006502994931217503,0.000547246567982238,0.00010305292513951227,3,6
PM2.5,ILI,2025,1,109,2025-W22,0,0.0005742535414670757,0.000547246567982238,2.7006973484837654e-05,3,6
PM2.5,ILI,2025,1,110,2025-W23,0,0.0005891784478665912,0.000547246567982238,4.1931879884353246e-05,3,6
PM2.5,ILI,2025,1,111,2025-W24,0,0.000557196505581915,0.0005557750859248183,1.4214196570967643e-06,3,6
PM2.5,ILI,2025,1,112,2025-W25,0,0.0005259252731257871,0.000547246567982238,-2.1321294856450923e-05,3,6
PM2.5,ILI,2025,1,113,2025-W26,0,0.0005372966303825609,0.0005028272036979654,3.4469426684595504e-05,3,6
PM2.5,ILI,2025,1,114,2025-W27,0,0.00047972913427014364,0.0004985629447266752,-1.883381045653153e-05,3,6
PM2.5,ILI,2025,1,115,2025-W28,0,0.00047120061632756333,0.00046658100244199895,4.619613885564376e-06,3,6
PM2.5,ILI,2025,1,116,2025-W29,0,0.0004534328706138543,0.0004740434556417568,-2.0610585027902486e-05,3,6
PM2.5,ILI,2025,1,117,2025-W30,0,0.0004441936428427256,0.0004623167434707088,-1.8123100627983203e-05,3,6
PM2.5,ILI,2025,1,118,2025-W31,0,0.00038733685655885673,0.00044881325672828994,-6.147640016943321e-05,3,6
PM2.5,ILI,2025,1,119,2025-W32,0,0.0004768862949559502,0.00043104551101458093,4.5840783941369294e-05,3,6
PM2.5,ILI,2025,1,120,2025-W33,0,0.0004257151873004682,0.00043815260930006453,-1.2437421999596308e-05,3,6
PM2.5,ILI,2025,1,121,2025-W34,0,0.00039941892364417884,0.00043815260930006453,-3.873368565588569e-05,3,6
PM2.5,ILI,2025,1,122,2025-W35,0,0.00043637583472869363,0.00045840783941369283,-2.2032004684999196e-05,3,6
PM2.5,ILI,2025,1,123,2025-W36,0,0.00043992938387143543,0.00045947390415651535,-1.9544520285079913e-05,3,6
PM2.5,ILI,2025,1,124,2025-W37,0,0.000539428759868206,0.00043992938387143543,9.949937599677057e-05,3,5
PM2.5,ILI,2025,1,125,2025-W38,0,0.0004825719735843371,0.0004676470671848215,1.4924906399515592e-05,3,4
PM2.5,ILI,2025,1,126,2025-W39,0,0.0004953647504982076,0.0005110003667262716,-1.5635616228063974e-05,3,4
PM2.5,ILI,2025,1,127,2025-W40,1,0.0005756749611241724,0.000539428759868206,3.6246201255966406e-05,3,5
PM2.5,ILI,2025,1,128,2025-W41,1,0.0005920212871807847,0.0005714107021528822,2.0610585027902432e-05,3,5
PM2.5,ILI,2025,1,129,2025-W42,0,0.0005714107021528822,0.0006204496803227191,-4.903897816983685e-05,3,3
PM2.5,ILI,2025,1,130,2025-W43,0,0.0006204496803227191,0.0006936527926632003,-7.32031123404812e-05,3,3
PM2.5,ILI,2025,1,131,2025-W44,0,0.0006936527926632003,0.000736295382376102,-4.264258971290174e-05,3,4
PM2.5,ILI,2025,1,132,2025-W45,1,0.0007853343605459389,0.0006936527926632003,9.168156788273859e-05,3,5
PM2.5,ILI,2025,1,133,2025-W46,0,0.0008521410844294848,0.0006936527926632003,0.00015848829176628456,3,3
PM2.5,ILI,2025,1,134,2025-W47,0,0.0009615903980259324,0.0007728969385463426,0.00018869345947958988,3,2
PM2.5,ILI,2025,1,135,2025-W48,1,0.0013617200314986597,0.0009615903980259324,0.0004001296334727272,3,3
PM2.5,ILI,2025,1,136,2025-W49,1,0.0014356338536676892,0.0009615903980259324,0.0004740434556417568,3,3
PM2.5,ILI,2025,1,137,2025-W50,1,0.0011797783153902792,0.0011097733972782657,7.000491811201353e-05,3,2
PM2.5,ILI,2025,1,138,2025-W51,0,0.001257956396530599,0.0008009699767740028,0.00045698641975659606,4,2
PM2.5,ILI,2025,1,139,2025-W52,1,0.0008628017318577102,0.0009491529760263361,-8.635124416862588e-05,3,2
PM2.5,ILI,2026,1,140,2026-W01,1,0.0006687779486640077,0.0006403495555220732,2.842839314193442e-05,3,3
PM2.5,ILI,2026,1,141,2026-W02,0,0.0006403495555220732,0.0006090783230659453,3.127123245612795e-05,3,3
PM2.5,ILI,2026,1,142,2026-W03,1,0.0005884677380380429,0.0006240032294654609,-3.5535491427418023e-05,3,4
PM2.5,ILI,2026,1,143,2026-W04,0,0.0006090783230659453,0.0006343085219794122,-2.5230198913466862e-05,3,4
PM2.5,ILI,2026,1,144,2026-W05,0,0.0005820713495811076,0.0006389281358649765,-5.685678628386884e-05,3,5
PM2.5,ILI,2026,1,145,2026-W06,0,0.0006389281358649765,0.0006193836155798966,1.9544520285079913e-05,3,4
PM2.5,ILI,2026,1,146,2026-W07,0,0.0006296889080938478,0.0006240032294654609,5.685678628386949e-06,3,4
PM2.5,ILI,2026,1,147,2026-W08,0,0.0006502994931217503,0.0006058801288374777,4.441936428427253e-05,3,4
PM2.5,ILI,2026,1,148,2026-W09,1,0.0005550643760962699,0.0006296889080938478,-7.462453199757796e-05,3,5
PM2.5,ILI,2026,1,149,2026-W10,1,0.0005934427068378814,0.0005742535414670757,1.9189165370805776e-05,3,5
PM2.5,ILI,2026,1,150,2026-W11,0,0.0005735428316385273,0.0005948641264949782,-2.1321294856450923e-05,3,4
PM2.5,ILI,2026,1,151,2026-W12,0,0.0005728321218099789,0.0005738981865528014,-1.066064742822519e-06,3,4
PM2.5,ILI,2026,1,152,2026-W13,0,0.0005742535414670757,0.0005731874767242531,1.066064742822519e-06,3,4
PM2.5,ILI,2026,1,153,2026-W14,0,0.0006154747115228806,0.0005731874767242531,4.228723479862749e-05,3,4
PM2.5,ILI,2026,1,154,2026-W15,0,0.0005508001171249798,0.0005742535414670757,-2.3453424342095852e-05,3,3
PM2.5,ILI,2023,2,1,2023-W18,0,0.00045414358044240264,0.0006119211623801388,-0.00015777758193773618,3,3
PM2.5,ILI,2023,2,2,2023-W19,0,0.0006119211623801388,0.00046658100244199895,0.00014534015993813987,3,4
PM2.5,ILI,2023,2,3,2023-W20,0,0.0007213704759765864,0.00047048990649901495,0.0002508805694775715,3,5
PM2.5,ILI,2023,2,4,2023-W21,0,0.0004605399688993379,0.0004715559712418375,-1.1016002342499598e-05,3,6
PM2.5,ILI,2023,2,5,2023-W22,0,0.00047262203598466004,0.00046587029261345057,6.751743371209468e-06,3,6
PM2.5,ILI,2023,2,6,2023-W23,0,0.00047048990649901495,0.0004608953238136121,9.594582685402834e-06,3,6
PM2.5,ILI,2023,2,7,2023-W24,0,0.00046125067872788625,0.000454854290270951,6.3963884569352225e-06,3,6
PM2.5,ILI,2023,2,8,2023-W25,0,0.00044916861164256413,0.0004456150624998223,3.5535491427418566e-06,3,6
PM2.5,ILI,2023,2,9,2023-W26,0,0.00042997944627175836,0.00042713660695756494,2.84283931419342e-06,3,6
PM2.5,ILI,2023,2,10,2023-W27,0,0.00040510460227256574,0.0004097242161581301,-4.619613885564376e-06,3,6
PM2.5,ILI,2023,2,11,2023-W28,0,0.0003894689860445018,0.00041256705547232353,-2.3098069427821715e-05,3,6
PM2.5,ILI,2023,2,12,2023-W29,0,0.0003837833074161149,0.00041256705547232353,-2.878374805620861e-05,3,6
PM2.5,ILI,2023,2,13,2023-W30,0,0.0003589084634169223,0.0003972867941585338,-3.83783307416115e-05,3,6
PM2.5,ILI,2023,2,14,2023-W31,0,0.00042002950867208133,0.0003866261467303084,3.340336194177293e-05,3,6
PM2.5,ILI,2023,2,15,2023-W32,0,0.00047191132615611166,0.00040190640804409813,7.000491811201353e-05,3,6
PM2.5,ILI,2023,2,16,2023-W33,0,0.0003674369813595026,0.00044490435267127395,-7.746737131177132e-05,3,5
PM2.5,ILI,2023,2,17,2023-W34,0,0.00045201145095675755,0.00044490435267127395,7.107098285483605e-06,3,5
PM2.5,ILI,2023,2,18,2023-W35,0,0.00044490435267127395,0.00047191132615611166,-2.700697348483771e-05,3,5
PM2.5,ILI,2023,2,19,2023-W36,1,0.0004697791966704666,0.00045201145095675755,1.7767745713709066e-05,3,5
PM2.5,ILI,2023,2,20,2023-W37,0,0.00048115055392724035,0.00045201145095675755,2.91391029704828e-05,3,3
PM2.5,ILI,2023,2,21,2023-W38,0,0.000513843206040465,0.00048115055392724035,3.269265211322466e-05,3,3
PM2.5,ILI,2023,2,22,2023-W39,1,0.0004967861701553043,0.0005131324962119166,-1.6346326056612356e-05,3,4
PM2.5,ILI,2023,2,23,2023-W40,1,0.00047830771461304693,0.000513843206040465,-3.553549142741808e-05,3,5
PM2.5,ILI,2023,2,24,2023-W41,0,0.0005124217863833682,0.0005209503043259486,-8.528517942580369e-06,3,4
PM2.5,ILI,2023,2,25,2023-W42,0,0.000513843206040465,0.0005280574026114322,-1.421419657096721e-05,3,3
PM2.5,ILI,2023,2,26,2023-W43,0,0.0005280574026114322,0.000513843206040465,1.421419657096721e-05,3,3
PM2.5,ILI,2023,2,27,2023-W44,0,0.0006652243995212659,0.0005209503043259486,0.00014427409519531724,3,4
PM2.5,ILI,2023,2,28,2023-W45,1,0.0007227918956336831,0.0006652243995212659,5.756749611241722e-05,3,5
PM2.5,ILI,2023,2,29,2023-W46,1,0.0008898087053425479,0.0009619457529402066,-7.213704759765867e-05,3,4
PM2.5,ILI,2023,2,30,2023-W47,0,0.0013304487990425317,0.0009619457529402066,0.00036850304610232514,3,2
PM2.5,ILI,2023,2,31,2023-W48,0,0.0012586671063591472,0.0009978365992818988,0.00026083050707724834,4,2
PM2.5,ILI,2023,2,32,2023-W49,1,0.001508126256179622,0.0012945579527008394,0.0002135683034787826,3,2
PM2.5,ILI,2023,2,33,2023-W50,1,0.001254402847387857,0.0012586671063591472,-4.264258971290076e-06,3,3
PM2.5,ILI,2023,2,34,2023-W51,1,0.0007192383464909413,0.000913617484598918,-0.00019437913810797672,3,2
PM2.5,ILI,2023,2,35,2023-W52,1,0.0006410602653506216,0.000913617484598918,-0.00027255721924829637,4,2
PM2.5,ILI,2024,2,38,2024-W03,1,0.0006467459439790085,0.0006357299416365089,1.1016002342499544e-05,5,2
PM2.5,ILI,2024,2,39,2024-W04,1,0.0006488780734646536,0.0006357299416365089,1.314813182814469e-05,4,2
PM2.5,ILI,2024,2,40,2024-W05,1,0.0006837028550635232,0.000702892020434329,-1.9189165370805776e-05,4,3
PM2.5,ILI,2024,2,41,2024-W06,1,0.0006979170516344905,0.0007270561546049733,-2.91391029704828e-05,3,2
PM2.5,ILI,2024,2,42,2024-W07,1,0.0006417709751791699,0.0007512202887756175,-0.0001094493135964476,3,3
PM2.5,ILI,2024,2,43,2024-W08,0,0.000702892020434329,0.0007512202887756175,-4.832826834128847e-05,3,3
PM2.5,ILI,2024,2,44,2024-W09,0,0.0007512202887756175,0.000732386478319086,1.883381045653153e-05,3,4
PM2.5,ILI,2024,2,45,2024-W10,0,0.0007803593917461003,0.0007249240251193282,5.543536662677207e-05,3,5
PM2.5,ILI,2024,2,46,2024-W11,0,0.0007249240251193282,0.0007277668644335216,-2.84283931419342e-06,3,6
PM2.5,ILI,2024,2,47,2024-W12,0,0.0007398489315188438,0.0007203044112337638,1.954452028508002e-05,3,6
PM2.5,ILI,2024,2,48,2024-W13,0,0.0007156847973481995,0.0007309650586619892,-1.528026131378973e-05,3,6
PM2.5,ILI,2024,2,49,2024-W14,0,0.0006943635024917487,0.0007203044112337638,-2.5940908742015135e-05,3,6
PM2.5,ILI,2024,2,50,2024-W15,0,0.0006915206631775552,0.0007050241499199741,-1.3503486742418827e-05,3,6
PM2.5,ILI,2024,2,51,2024-W16,0,0.0007370060922046503,0.0006858349845491683,5.1171107655482e-05,3,6
PM2.5,ILI,2024,2,52,2024-W17,0,0.0006801493059207814,0.0006808600157493298,-7.107098285483822e-07,3,6
PM2.5,ILI,2024,2,53,2024-W18,0,0.0006282674884367511,0.0006751743371209429,-4.690684868419181e-05,3,6
PM2.5,ILI,2024,2,54,2024-W19,0,0.0006701993683211044,0.0006570512364929596,1.3148131828144799e-05,3,6
PM2.5,ILI,2024,2,55,2024-W20,0,0.0006481673636361052,0.0006670011740926368,-1.883381045653153e-05,3,6
PM2.5,ILI,2024,2,56,2024-W21,0,0.0006502994931217503,0.0006670011740926368,-1.6701680970886493e-05,3,6
PM2.5,ILI,2024,2,57,2024-W22,0,0.0006638029798641691,0.0006602494307214274,3.553549142741694e-06,3,6
PM2.5,ILI,2024,2,58,2024-W23,0,0.0006801493059207814,0.0006570512364929596,2.3098069427821824e-05,3,6
PM2.5,ILI,2024,2,59,2024-W24,0,0.0007021813106057806,0.0006701993683211043,3.198194228467633e-05,3,6
PM2.5,ILI,2024,2,60,2024-W25,0,0.0006417709751791699,0.0006783725313494105,-3.660155617024065e-05,3,6
PM2.5,ILI,2024,2,61,2024-W26,0,0.0006929420828346519,0.0006709100781496528,2.2032004684999088e-05,3,6
PM2.5,ILI,2024,2,62,2024-W27,0,0.0006765957567780396,0.0006534976873502178,2.3098069427821824e-05,3,6
PM2.5,ILI,2024,2,63,2024-W28,0,0.0006652243995212659,0.0006353745867222347,2.9849812799031183e-05,3,6
PM2.5,ILI,2024,2,64,2024-W29,0,0.0006289781982652994,0.000616185421351429,1.2792776913870445e-05,3,6
PM2.5,ILI,2024,2,65,2024-W30,0,0.000521661014154497,0.000604458709180381,-8.279769502588397e-05,3,6
PM2.5,ILI,2024,2,66,2024-W31,0,0.0005429823090109478,0.0005735428316385273,-3.056052262757946e-05,3,6
PM2.5,ILI,2024,2,67,2024-W32,0,0.000567146443181592,0.0005323216615827224,3.482478159886964e-05,3,6
PM2.5,ILI,2024,2,68,2024-W33,0,0.0005799392200954625,0.0005269913378686097,5.294788222685279e-05,3,6
PM2.5,ILI,2024,2,69,2024-W34,0,0.000506025397926433,0.0005550643760962699,-4.903897816983685e-05,3,6
PM2.5,ILI,2024,2,70,2024-W35,0,0.00046338280821353134,0.0005735428316385273,-0.00011016002342499593,3,6
PM2.5,ILI,2024,2,71,2024-W36,0,0.0005323216615827224,0.0005952194814092522,-6.289781982652981e-05,3,6
PM2.5,ILI,2024,2,72,2024-W37,0,0.0006289781982652994,0.0005703446374100597,5.863356085523974e-05,3,6
PM2.5,ILI,2024,2,73,2024-W38,0,0.0006104997427230421,0.0006186729057513483,-8.173163028306232e-06,3,6
PM2.5,ILI,2024,2,74,2024-W39,0,0.0006574065914072339,0.0006197389704941708,3.766762091306306e-05,3,6
PM2.5,ILI,2024,2,75,2024-W40,0,0.000608367613237397,0.0006303996179223962,-2.2032004684999196e-05,3,6
